Geom;Label;geo_point_2d
"{""coordinates"": [[-123.08116173429248, 49.26582333842718], [-123.08116452082939, 49.26591323451351], [-123.08089928869599, 49.26591104579259], [-123.08081605373857, 49.26598225608408], [-123.08064470276514, 49.26598083762909], [-123.08083199538487, 49.265820619153246], [-123.08116173429248, 49.26582333842718]], ""type"": ""LineString""}";R.O.W.;49.26589497116511, -123.08091406277488
"{""coordinates"": [[-123.13065936911009, 49.275626159385475], [-123.13073346481356, 49.27557714175101], [-123.13083895577851, 49.27564582654409], [-123.13080062441709, 49.27567105646886], [-123.13078037862869, 49.27568333982696], [-123.13080399868119, 49.275699324525846], [-123.13078474116448, 49.275711013083466], [-123.13065936911009, 49.275626159385475]], ""type"": ""LineString""}";VOL. R.O.W.;49.27564408895487, -123.13075396882444
"{""coordinates"": [[-123.09942172336747, 49.263869721004895], [-123.09905379199594, 49.26386302975522], [-123.09905840079077, 49.263755326210116], [-123.09932634896388, 49.26376016947116], [-123.09942172336747, 49.263869721004895]], ""type"": ""LineString""}";R.O.W.;49.26381829237359, -123.09922431490531
"{""coordinates"": [[-123.1228355044371, 49.27540656962506], [-123.12284836558447, 49.27541486750603], [-123.1227010786631, 49.27551236093618], [-123.12268836894263, 49.275504143834866], [-123.1228355044371, 49.27540656962506]], ""type"": ""LineString""}";VOL. EASE.;49.275459464612204, -123.12276836358251
"{""coordinates"": [[-123.12247940050761, 49.27517658086323], [-123.1223324015816, 49.27527379467136], [-123.12233191962902, 49.27527348035001], [-123.12247891855506, 49.2751762665425], [-123.12247940050761, 49.27517658086323]], ""type"": ""LineString""}";VOL. EASE.;49.27522503060682, -123.12240566006824
"{""coordinates"": [[-123.17350819928119, 49.233309461468586], [-123.17319707226599, 49.233308992840556], [-123.17319736108693, 49.233281592854254], [-123.17350848777251, 49.233282016505655], [-123.17350819928119, 49.233309461468586]], ""type"": ""LineString""}";R.O.W. & OPTION;49.233295515940064, -123.17335279043353
"{""coordinates"": [[-123.17074379647835, 49.26721236719676], [-123.17072287446555, 49.26721202930911], [-123.17072606763502, 49.26712161379538], [-123.17076792533005, 49.26712228954554], [-123.17076773805286, 49.2671277679016], [-123.17074631352837, 49.26714113045669], [-123.17074379647835, 49.26721236719676]], ""type"": ""LineString""}";EASE.;49.26716185522816, -123.17073879069973
"{""coordinates"": [[-123.13882470630658, 49.28021449062444], [-123.13890947127626, 49.280273559059744], [-123.13941488240299, 49.27993292350682], [-123.13919155873178, 49.27985127361293], [-123.13910136738234, 49.27991100228891], [-123.13921393757789, 49.279952163601614], [-123.13882470630658, 49.28021449062444]], ""type"": ""LineString""}";;49.28004886676459, -123.139121979654
"{""coordinates"": [[-123.03824450802794, 49.237507387940234], [-123.03805499537766, 49.23744650773886], [-123.03807465299141, 49.237427926080926], [-123.03789242201174, 49.237367528955154], [-123.03787873722027, 49.2373823486116], [-123.03784737896743, 49.23736972956518], [-123.03781726395792, 49.237366105348315], [-123.03787218384065, 49.23730960621307], [-123.03827793181384, 49.23747280814438], [-123.03824450802794, 49.237507387940234]], ""type"": ""LineString""}";R.O.W.S;49.23740861559886, -123.03804643877722
"{""coordinates"": [[-123.10836113085378, 49.24323208618773], [-123.10829666484314, 49.24321824899383], [-123.10807397181564, 49.243282035874316], [-123.10803820233585, 49.24322848469812], [-123.10826375109423, 49.243163885638396], [-123.10842855848837, 49.24319924427623], [-123.10836113085378, 49.24323208618773]], ""type"": ""LineString""}";R.O.W.;49.24321667071116, -123.10822806294051
"{""coordinates"": [[-123.11703844898155, 49.208729135473895], [-123.1169453039, 49.20872709793211], [-123.11691568681512, 49.20869681377897], [-123.11704281865471, 49.20864346887669], [-123.11703844898155, 49.208729135473895]], ""type"": ""LineString""}";R.O.W.;49.2086939706439, -123.11699143605033
"{""coordinates"": [[-123.12495741753872, 49.27762977554185], [-123.12495243133773, 49.27764244615426], [-123.12494732132963, 49.27765508991476], [-123.12494207376582, 49.27766770683819], [-123.12493668866894, 49.277680305919695], [-123.12493116601618, 49.277692878164075], [-123.12492550580744, 49.27770542357134], [-123.12502578638461, 49.27777018838254], [-123.12504268266142, 49.27775903406067], [-123.12504720942906, 49.27774953924202], [-123.12505605659501, 49.277730495856375], [-123.12506036326765, 49.27772095629943], [-123.1250687702667, 49.27770183243246], [-123.12495741753872, 49.27762977554185]], ""type"": ""LineString""}";;49.27770133325519, -123.12499583065579
"{""coordinates"": [[-123.12472088302016, 49.27757327147596], [-123.12469423280155, 49.27764739357672], [-123.12466308481429, 49.27772075593228], [-123.12462748001339, 49.27779325055262], [-123.12458748682926, 49.27786476042244], [-123.12454315992247, 49.27793515954576], [-123.12449456777131, 49.27800434889679], [-123.12458410726116, 49.27806228932003], [-123.12462079624166, 49.27803802572545], [-123.1246650454352, 49.27797498471827], [-123.12470592364674, 49.27791096685646], [-123.12474336237113, 49.277846062169395], [-123.1247773343044, 49.27778034265132], [-123.12480779844013, 49.27771389830144], [-123.12483471370462, 49.27764679213316], [-123.12472088302016, 49.27757327147596]], ""type"": ""LineString""}";;49.27782343543475, -123.12467205233283
"{""coordinates"": [[-123.12491630879654, 49.277297429907755], [-123.12492116687568, 49.27722315140913], [-123.12492179026745, 49.2771488055261], [-123.12491817926357, 49.27707450020067], [-123.12491033413296, 49.277000334379196], [-123.12489828264104, 49.27692640697787], [-123.12488202507899, 49.27685282593729], [-123.12476225754999, 49.276932184915474], [-123.12477497697299, 49.277009367866896], [-123.1247828714298, 49.277086816886914], [-123.12478595437399, 49.27716442401977], [-123.12478419792305, 49.277242045372944], [-123.12477760173655, 49.277319555014024], [-123.12476620671939, 49.277396826965365], [-123.12491630879654, 49.277297429907755]], ""type"": ""LineString""}";;49.277126796989776, -123.1248406679223
"{""coordinates"": [[-123.10677490353619, 49.27948227855389], [-123.10675392898304, 49.2794789067503], [-123.10681387462127, 49.27931968161955], [-123.10680677765187, 49.27931852780131], [-123.10682586286781, 49.279268353026836], [-123.10687536285725, 49.27927642090742], [-123.10687771422545, 49.27927019406697], [-123.10725359131781, 49.27933077914949], [-123.10726387009544, 49.27932191834978], [-123.10726413517548, 49.27921591888463], [-123.10725395479946, 49.27920674425409], [-123.10725405451336, 49.27916396307759], [-123.10730899541944, 49.27916402001046], [-123.1073095771692, 49.27893152999957], [-123.10732068628087, 49.27893153767255], [-123.10732009682646, 49.27916678921146], [-123.10747480031192, 49.279166951259576], [-123.107474764667, 49.279175856522606], [-123.10727723307234, 49.279175644292245], [-123.107276789953, 49.27935168040622], [-123.10687302002127, 49.27928659662461], [-123.1068577217959, 49.27932681023886], [-123.10683484918863, 49.27932308939305], [-123.10677490353619, 49.27948227855389]], ""type"": ""LineString""}";R.O.W.;49.27924359051481, -123.10713658908182
"{""coordinates"": [[-123.18133501885512, 49.22852563452487], [-123.17890967931562, 49.22850918587479], [-123.17891099536165, 49.22845523923186], [-123.18133585150989, 49.228471679616966], [-123.18133501885512, 49.22852563452487]], ""type"": ""LineString""}";R.O.W.;49.228490437440016, -123.18012288587539
"{""coordinates"": [[-123.1532723797742, 49.2743268341825], [-123.1533829975769, 49.27421303314796], [-123.1533366221664, 49.274193728051564], [-123.1532259905803, 49.27430753805555], [-123.15321183007225, 49.27432069880785], [-123.15319583823553, 49.27433292648649], [-123.15317815221094, 49.27434411296662], [-123.1531589366906, 49.27435416807725], [-123.15313837008684, 49.274362992634046], [-123.15311661712063, 49.27437050546129], [-123.15309388383949, 49.27437665231418], [-123.15307036251603, 49.2743813699711], [-123.15304627300175, 49.27438462215958], [-123.15302182140083, 49.27438637262555], [-123.1526695001959, 49.27440064629432], [-123.1526680993397, 49.2744367368535], [-123.15302521812107, 49.27442226793659], [-123.15305481021886, 49.27442015085321], [-123.15308398426397, 49.27441621728744], [-123.15311245166565, 49.27441050360275], [-123.15313997887948, 49.274403064080325], [-123.15316630489426, 49.274393962033194], [-123.15319121002551, 49.27438328770531], [-123.15321446078615, 49.27437111336874], [-123.15323586512748, 49.27435757420701], [-123.15325523089007, 49.27434276942312], [-123.1532723797742, 49.2743268341825]], ""type"": ""LineString""}";R.O.W.;49.27436440901522, -123.15304002405837
"{""coordinates"": [[-123.12608554311066, 49.24342281821669], [-123.12608284638364, 49.24350224011987], [-123.12518730943398, 49.24283968920406], [-123.12493742025298, 49.24275529652326], [-123.12380774462636, 49.24271686167098], [-123.12350306065339, 49.242827820239135], [-123.12073201421809, 49.242731270994526], [-123.12073395984146, 49.24267274593404], [-123.12349932836428, 49.2427690943114], [-123.12349937910231, 49.242767403152165], [-123.12378848334986, 49.242662119292916], [-123.12495951512507, 49.2427019668373], [-123.12523889906342, 49.242796312216534], [-123.12608554311066, 49.24342281821669]], ""type"": ""LineString""}";R.O.W.;49.24282198578055, -123.12350236562946
"{""coordinates"": [[-123.13407120005711, 49.25360807706041], [-123.13406033914173, 49.25359613501204]], ""type"": ""LineString""}";;49.253602106036226, -123.13406576959942
"{""coordinates"": [[-123.127461499329, 49.244583897817414], [-123.12742115911341, 49.24458331265062], [-123.12742966180986, 49.24433160754765], [-123.1274700018205, 49.244332192711695], [-123.127461499329, 49.244583897817414]], ""type"": ""LineString""}";R.O.W.;49.244457752725985, -123.12744558051656
"{""coordinates"": [[-123.10824627172126, 49.243288027305915], [-123.10800977283873, 49.24340322578487], [-123.10792802778332, 49.243271791804936], [-123.10772337598974, 49.243324164186824], [-123.10787947289774, 49.24346669199479], [-123.1078133483504, 49.243498893706196], [-123.10764417352169, 49.24334442332493], [-123.10635490010227, 49.243674330381204], [-123.10673214924596, 49.2440255163302], [-123.10666600948615, 49.24405772639072], [-123.10607687967642, 49.2435093254914], [-123.10537282407215, 49.24338741868692], [-123.10537596531904, 49.24331405066358], [-123.10546277012986, 49.243347190867006], [-123.10563494213481, 49.243376996703844], [-123.10543147734282, 49.24201996296606], [-123.10543620219472, 49.24190967701396], [-123.10549791839135, 49.241910808043755], [-123.10570569103852, 49.24329648758137], [-123.10578211384774, 49.24340248047816], [-123.10612702236241, 49.24346219836717], [-123.10630609749998, 49.24362889537901], [-123.1075946285502, 49.24329916946071], [-123.10724660510317, 49.24298139445738], [-123.10731356905639, 49.24294995688293], [-123.10767383096623, 49.24327891035643], [-123.10797369547889, 49.243202170967145], [-123.10805826695989, 49.24333815386304], [-123.10824627172126, 49.243288027305915]], ""type"": ""LineString""}";;49.24323922520238, -123.10656111324397
"{""coordinates"": [[-123.10887831717058, 49.24303060133239], [-123.107976944016, 49.24346964132616], [-123.10795287130028, 49.24343093932506], [-123.10884142555939, 49.24299814529387], [-123.10887831717058, 49.24303060133239]], ""type"": ""LineString""}";;49.24323208156791, -123.10841325719886
"{""coordinates"": [[-123.1713769062488, 49.235836270699544], [-123.17137478324676, 49.23569909623828], [-123.1714001437851, 49.23571562787051], [-123.17140605137166, 49.23611679839076], [-123.17138089767533, 49.236100554302126], [-123.1713769062488, 49.235836270699544]], ""type"": ""LineString""}";R.O.W.;49.23590793957986, -123.17139047146911
"{""coordinates"": [[-123.11532496040046, 49.20963642396621], [-123.11526733413993, 49.20963517716982], [-123.11527186193925, 49.20954530969524], [-123.11532947436584, 49.20954655650315], [-123.11532496040046, 49.20963642396621]], ""type"": ""LineString""}";VOL. R.O.W.;49.2095908689371, -123.1152984075365
"{""coordinates"": [[-123.1169778854364, 49.208727802554236], [-123.11691855906078, 49.209245307793445], [-123.11691747906858, 49.20925309880908], [-123.1169160008564, 49.2092608632419], [-123.11691412440283, 49.2092685920966], [-123.11691187714548, 49.20927627635013], [-123.11690923160398, 49.209283907034965], [-123.11690288527481, 49.20929998804396], [-123.1169000909751, 49.209308581375296], [-123.11689784602542, 49.20931724611293], [-123.11689615036246, 49.20932595527106], [-123.11689501771606, 49.20933470883584], [-123.1168944343145, 49.209343488830626], [-123.11685327162347, 49.20934288281931], [-123.11685393478076, 49.209332987327905], [-123.1168552158093, 49.209323109201996], [-123.1168571147935, 49.20931328442263], [-123.11685964546255, 49.209303512975886], [-123.11686279415017, 49.20929382186142], [-123.11686923606815, 49.20927751587561], [-123.11687156787198, 49.20927074905711], [-123.11687357006069, 49.2092639375956], [-123.11687522890489, 49.209257081505], [-123.11687654444714, 49.20925019877587], [-123.1168775166876, 49.209243289408214], [-123.11693759682615, 49.20871920786823], [-123.1169453039, 49.20872709793211], [-123.11697789918699, 49.2087278115356]], ""type"": ""LineString""}";R.O.W.;49.209033898566766, -123.1169204782806
"{""coordinates"": [[-123.16840355732356, 49.23460198790017], [-123.16838262260781, 49.23460193745864], [-123.16838682107459, 49.23427719363703], [-123.1684077418861, 49.23427723510278], [-123.16840355732356, 49.23460198790017]], ""type"": ""LineString""}";EASE.;49.234439591794924, -123.1683951858139
"{""coordinates"": [[-123.16838262260781, 49.23460193745864], [-123.16836170162864, 49.234601886993296], [-123.16836588652671, 49.23427715218753], [-123.16838682107459, 49.23427719363703], [-123.16838262260781, 49.23460193745864]], ""type"": ""LineString""}";EASE.;49.23443953938753, -123.16837425813962
"{""coordinates"": [[-123.12445672682782, 49.28832316110434], [-123.12444949356235, 49.28832316889452]], ""type"": ""LineString""}";VOL. EASEMENTS;49.288323164999426, -123.12445311019508
"{""coordinates"": [[-123.04309335543945, 49.29058093413097], [-123.04313851146888, 49.29062143149162], [-123.04224002939681, 49.29062076494582], [-123.04217595118254, 49.290580256151536], [-123.04309335543945, 49.29058093413097]], ""type"": ""LineString""}";R.O.W.;49.290600647793184, -123.04265817368477
"{""coordinates"": [[-123.05993632692808, 49.24332691542725], [-123.05986195541507, 49.2433931589252], [-123.0598282202727, 49.24337692200883], [-123.05987312595718, 49.243336941906115], [-123.05988481852046, 49.24330341959579], [-123.05993632692808, 49.24332691542725]], ""type"": ""LineString""}";R.O.W.;49.243348954778405, -123.05988183353954
"{""coordinates"": [[-123.10901252230673, 49.24587196190651], [-123.10897948631718, 49.24588807655225], [-123.1076894894784, 49.244749203180824], [-123.10762274525472, 49.24478160324832], [-123.10753761759976, 49.24470643737343], [-123.10755559723286, 49.244697713248016], [-123.1075649852856, 49.24470590816241], [-123.10757091435264, 49.244702988185566], [-123.10756151256012, 49.24469479328445], [-123.10764725051587, 49.24465251677716], [-123.10773306599472, 49.244728041740004], [-123.10772258018444, 49.24473313382585], [-123.10901252230673, 49.24587196190651]], ""type"": ""LineString""}";R.O.W.;49.24524616220523, -123.10827220283167
"{""coordinates"": [[-123.10929487921385, 49.24339711476], [-123.10922876942004, 49.24342931726821], [-123.10914678082392, 49.243357180988546], [-123.1092128905749, 49.243324978526864], [-123.10929487921385, 49.24339711476]], ""type"": ""LineString""}";R.O.W.;49.24337714789164, -123.1092208300149
"{""coordinates"": [[-123.11363752534807, 49.26741043877642], [-123.11330587135099, 49.267573271771916], [-123.11329331015166, 49.267562309945085], [-123.11362496411677, 49.26739947698537], [-123.11363752534807, 49.26741043877642]], ""type"": ""LineString""}";OPTION;49.26748637436996, -123.11346541774235
"{""coordinates"": [[-123.12506149914013, 49.27769712682553], [-123.12507766423697, 49.277657809365984], [-123.12509256392487, 49.27761828638456], [-123.12510619820671, 49.27757855788175], [-123.12511855342795, 49.27753865985354], [-123.12512964333996, 49.277498592285426], [-123.12513945428833, 49.27745839117332], [-123.1250260229717, 49.27738514023733], [-123.12501807039284, 49.27742629281929], [-123.12500870139358, 49.27746732100022], [-123.12499795717031, 49.277508206744805], [-123.12498582390309, 49.277548923082065], [-123.12497230154314, 49.27758945202127], [-123.12495741753872, 49.27762977554185], [-123.12506149914013, 49.27769712682553]], ""type"": ""LineString""}";;49.277541460365626, -123.12504885502665
"{""coordinates"": [[-123.11205239254143, 49.268590241072985], [-123.11204003793766, 49.26857944982027], [-123.11270332388112, 49.268253592328605], [-123.11271567856846, 49.26826439250615], [-123.11205239254143, 49.268590241072985]], ""type"": ""LineString""}";R.O.W.;49.26842191827813, -123.11237785951927
"{""coordinates"": [[-123.13643990144756, 49.203412144829585], [-123.13640583125792, 49.203452996753654], [-123.1362222451768, 49.203387196897985], [-123.13625634292843, 49.20334634499512], [-123.13643990144756, 49.203412144829585]], ""type"": ""LineString""}";"R.O.W. &
OPTION";49.203399670767816, -123.13633107605
"{""coordinates"": [[-123.09789223425135, 49.26057957251424], [-123.09777394340303, 49.260629218296096], [-123.09757360789534, 49.26042402700039], [-123.09769200865297, 49.260374507261844], [-123.09789223425135, 49.26057957251424]], ""type"": ""LineString""}";;49.26050182974733, -123.09773293029289
"{""coordinates"": [[-123.12216894165377, 49.276933489693526], [-123.12215790604508, 49.27694079645659], [-123.12194328237409, 49.276801975572155], [-123.12195431800576, 49.276794677824576], [-123.12216894165377, 49.276933489693526]], ""type"": ""LineString""}";EASEMENTS;49.27686773555984, -123.12205611295835
"{""coordinates"": [[-123.10670126357383, 49.212116005712566], [-123.10677532897924, 49.212124212934704], [-123.10684955783526, 49.212131799283384], [-123.10692390896756, 49.21213877379167], [-123.10699840983415, 49.21214513643392], [-123.10707300549156, 49.212150878265476], [-123.10714772339766, 49.21215599926069], [-123.10737962037324, 49.21217101293741], [-123.10749131731848, 49.21217757455496], [-123.10760318978082, 49.21218275062689], [-123.10771518282961, 49.21218654120389], [-123.10782726897521, 49.212188937315986], [-123.10793940705642, 49.212189956991956], [-123.10805154212291, 49.21218959128776], [-123.1080501318105, 49.212216587461775], [-123.10793752981218, 49.21221693561033], [-123.10782495224039, 49.21221588935692], [-123.10771241285454, 49.212213457684086], [-123.1075999665854, 49.21220964054072], [-123.10748765463337, 49.2122044378888], [-123.10737550448803, 49.21219785869844], [-123.10714371723076, 49.21218284491172], [-123.10706943873288, 49.21217775948778], [-123.10699526877269, 49.21217206223605], [-123.10692122110268, 49.2121657621393], [-123.10684728197572, 49.21215885021519], [-123.10677349260489, 49.21215133542114], [-123.10669985301215, 49.21214322675266], [-123.10670126357383, 49.212116005712566]], ""type"": ""LineString""}";R.O.W. & OPTION TO PURCHASE;49.21217861563934, -123.10737499863339
"{""coordinates"": [[-123.1079243048144, 49.21176158855817], [-123.10790042994084, 49.212216745390194], [-123.10795032656847, 49.21221695963285], [-123.10797528840709, 49.212216972282924], [-123.1080002363586, 49.212216912978334], [-123.1080501318105, 49.212216587461775], [-123.10808146610766, 49.21161899223988], [-123.10798819226409, 49.21161689362364], [-123.1079831959878, 49.21171214939207], [-123.1079243048144, 49.21176158855817]], ""type"": ""LineString""}";R.O.W.;49.21192545131818, -123.10799595903129
"{""coordinates"": [[-123.12406239719134, 49.28592042651546], [-123.12401916618222, 49.28593202272205], [-123.12397849354245, 49.285867130220716], [-123.12402173825521, 49.2858555340145], [-123.12406239719134, 49.28592042651546]], ""type"": ""LineString""}";;49.28589377677253, -123.12402044703569
"{""coordinates"": [[-123.12443613312433, 49.281467817615194], [-123.12437739641841, 49.281506695049806], [-123.12438393813756, 49.281510933732655], [-123.12434548950826, 49.281536386493805], [-123.12432525844598, 49.28152330228723], [-123.12431337106206, 49.281531167867655], [-123.1242801392651, 49.28150967815158], [-123.12433047527911, 49.281476359831025], [-123.12435490676852, 49.28149215606045], [-123.12441365722442, 49.28145327862237], [-123.12443613312433, 49.281467817615194]], ""type"": ""LineString""}";R.O.W.;49.281495680689915, -123.12435907192354
"{""coordinates"": [[-123.11249589432403, 49.27441842591429], [-123.1123880868527, 49.27446745565897], [-123.11160134740318, 49.273954125131155], [-123.11170479015617, 49.27390224886046], [-123.11249589432403, 49.27441842591429]], ""type"": ""LineString""}";VOLUMETRIC R.O.W.;49.27418583125559, -123.11204816449064
"{""coordinates"": [[-123.11230487864357, 49.27452470998476], [-123.11241989677151, 49.274599609019134], [-123.11234228110159, 49.27465572453538], [-123.11230901998029, 49.274677543216704], [-123.11229580249386, 49.274668866710456], [-123.11216809549111, 49.274739567004914], [-123.11215619395615, 49.274729198109824], [-123.11210685339194, 49.27475345204478], [-123.11209632936645, 49.274744287162356], [-123.11204598629679, 49.27476903677921], [-123.11197419111616, 49.27470628397764], [-123.11210029561524, 49.274644202842886], [-123.11211280317714, 49.27465508388163], [-123.11217881776807, 49.27461184290336], [-123.11218327863624, 49.27461476200888], [-123.11227425093733, 49.27455590807928], [-123.11226483265351, 49.27454935074232], [-123.11230487864357, 49.27452470998476]], ""type"": ""LineString""}";VOLUMETRIC R.O.W.;49.27465503064823, -123.1121990201118
"{""coordinates"": [[-123.09004162289342, 49.2397718761168], [-123.09000731755738, 49.23977103031092], [-123.09000851611648, 49.23975019639512], [-123.09004282143813, 49.23975104220065], [-123.09004162289342, 49.2397718761168]], ""type"": ""LineString""}";R.O.W.;49.23976103625723, -123.0900250695012
"{""coordinates"": [[-123.08988191567713, 49.23975513440308], [-123.08986063510368, 49.23975490808635], [-123.089861722324, 49.239710533708454], [-123.08988301661638, 49.23971076001432], [-123.08988191567713, 49.23975513440308]], ""type"": ""LineString""}";;49.2397328317362, -123.0898718225157
"{""coordinates"": [[-123.10648824463456, 49.28197662742928], [-123.10634044614883, 49.28194980499372], [-123.10634393483465, 49.28194167014282], [-123.10649173329794, 49.28196849257398], [-123.10648824463456, 49.28197662742928]], ""type"": ""LineString""}";VOL. EASE.;49.281959148785035, -123.10641608972772
"{""coordinates"": [[-123.08918213192233, 49.253229104160475], [-123.08914093298196, 49.25322843432773], [-123.08918315519463, 49.25320213569634], [-123.08918213192233, 49.253229104160475]], ""type"": ""LineString""}";R.O.W.S;49.25322007280639, -123.08916657925185
"{""coordinates"": [[-123.10469618068744, 49.27113888641267], [-123.10470991427576, 49.2711391798044], [-123.10470838200713, 49.27117513498379], [-123.10469464840884, 49.27117484159191], [-123.10469618068744, 49.27113888641267]], ""type"": ""LineString""}";VOL. R.O.W.;49.27115701070001, -123.1047022813447
"{""coordinates"": [[-123.0693470521904, 49.26218017702903], [-123.06921117516178, 49.26217900816875], [-123.06921426472154, 49.26192142856243], [-123.06935176283898, 49.26192258745078], [-123.0693470521904, 49.26218017702903]], ""type"": ""LineString""}";R.O.W.;49.26205053560459, -123.06928107072737
"{""coordinates"": [[-123.06924379059146, 49.262179285468555], [-123.06920837130485, 49.26217898286267], [-123.06921309645703, 49.261921420267065], [-123.06924687998146, 49.261921705861454], [-123.06924379059146, 49.262179285468555]], ""type"": ""LineString""}";VOL. R.O.W.;49.262050709102645, -123.06922802888421
"{""coordinates"": [[-123.10905087126426, 49.280302690329975], [-123.10879608653345, 49.2805227367148], [-123.1087936356766, 49.280521155870744], [-123.1090484204102, 49.280301109491255], [-123.10905087126426, 49.280302690329975]], ""type"": ""LineString""}";VOL. EASE.;49.28041192310255, -123.10892225347017
"{""coordinates"": [[-123.1057547073145, 49.27166722661506], [-123.10571527977982, 49.27166650709865], [-123.10571655021498, 49.27163701969242], [-123.10575596397936, 49.27163773922099], [-123.1057547073145, 49.27166722661506]], ""type"": ""LineString""}";VOL. R.O.W.;49.27165212462739, -123.10573562517308
"{""coordinates"": [[-123.11254778628451, 49.28266961167177], [-123.11247414334804, 49.28262196396511], [-123.11253695460474, 49.282580408060696], [-123.11261059753969, 49.28262805572766], [-123.11254778628451, 49.28266961167177]], ""type"": ""LineString""}";;49.282625009859274, -123.11254237044437
"{""coordinates"": [[-123.11253695460474, 49.282580408060696], [-123.11247414334804, 49.28262196396511], [-123.11240187760468, 49.28257522338436], [-123.11246468884242, 49.282533658523725], [-123.11253695460474, 49.282580408060696]], ""type"": ""LineString""}";;49.282577812812534, -123.11246941602333
"{""coordinates"": [[-123.21150371658035, 49.27180112277554], [-123.21129679334632, 49.27179678787467], [-123.21129729830052, 49.271783051281], [-123.21150420799954, 49.27178744917212], [-123.21150371658035, 49.27180112277554]], ""type"": ""LineString""}";;49.27179210265148, -123.21140048917864
"{""coordinates"": [[-123.21115866580914, 49.27179389206469], [-123.21102115697026, 49.27179101295007], [-123.21102164859946, 49.27177735733875], [-123.21115912956127, 49.271780155546935], [-123.21115866580914, 49.27179389206469]], ""type"": ""LineString""}";;49.271785605518836, -123.21109016836942
"{""coordinates"": [[-123.21102115697026, 49.27179101295007], [-123.2108829882239, 49.27178811688581], [-123.21088347989122, 49.271774461275015], [-123.21102164859946, 49.27177735733875], [-123.21102115697026, 49.27179101295007]], ""type"": ""LineString""}";;49.27178273711326, -123.21095231842098
"{""coordinates"": [[-123.2108829882239, 49.27178811688581], [-123.21074550690969, 49.271785237392905], [-123.21074599853829, 49.27177156379239], [-123.21088347989122, 49.271774461275015], [-123.2108829882239, 49.27178811688581]], ""type"": ""LineString""}";;49.27177984474125, -123.21081448930431
"{""coordinates"": [[-123.03590483638659, 49.23623163245893], [-123.03590968991652, 49.23623764877049], [-123.0359147494573, 49.23624360205102], [-123.03592001498943, 49.236249465314835], [-123.03592548652597, 49.23625525655237], [-123.03593117779094, 49.23626095776881], [-123.0359377898819, 49.23626727037531], [-123.03590155108596, 49.236304476988195], [-123.03585602704706, 49.236286212785465], [-123.03584735235222, 49.2362770583164], [-123.03584020326474, 49.23626900079348], [-123.03583675232258, 49.23626492701726], [-123.03583009764787, 49.23625669843062], [-123.03573126471456, 49.23613030084691], [-123.03586872952347, 49.23618544408749], [-123.03590483638659, 49.23623163245893]], ""type"": ""LineString""}";;49.23621365908794, -123.03583528780653
"{""coordinates"": [[-123.0860057103234, 49.27172474940917], [-123.08595249423003, 49.27171572185391], [-123.08596962967015, 49.27167219036436], [-123.08602284570416, 49.27168120891665], [-123.0860057103234, 49.27172474940917]], ""type"": ""LineString""}";R.O.W.;49.27169846799196, -123.08598767101867
"{""coordinates"": [[-123.02396487641057, 49.28377025260604], [-123.02392297946713, 49.28377021631168], [-123.02392400558703, 49.28358904433173], [-123.02396590237701, 49.28358908062575], [-123.02396487641057, 49.28377025260604]], ""type"": ""LineString""}";EASE.;49.28367964849996, -123.02394444096025
"{""coordinates"": [[-123.02396590237701, 49.28358908062575], [-123.02392400558703, 49.28358904433173], [-123.0239248661385, 49.283435136749155], [-123.02396676280244, 49.28343518203804], [-123.02396590237701, 49.28358908062575]], ""type"": ""LineString""}";EASE.;49.283512110958746, -123.02394538374492
"{""coordinates"": [[-123.1183842946175, 49.28898647677595], [-123.1183953713118, 49.289063886828046], [-123.11547636389477, 49.288273511909466], [-123.11551826893637, 49.288245917826636], [-123.11834623519917, 49.28901163926139], [-123.1183842946175, 49.28898647677595]], ""type"": ""LineString""}";R.O.W.;49.288653273014795, -123.11695155702873
"{""coordinates"": [[-123.11840793066558, 49.28915171176172], [-123.11838863271689, 49.28914992350576], [-123.1183696758053, 49.28914698351592], [-123.11835121130824, 49.28914293661315], [-123.11833337680828, 49.289137809642305], [-123.11831633741271, 49.28913163841529], [-123.11830021701657, 49.28912447677661], [-123.11828516703952, 49.289116387537824], [-123.11827129764596, 49.28910743355276], [-123.11825873279464, 49.28909769565148], [-123.11824758269239, 49.28908725467813], [-123.11823791626921, 49.28907618252392], [-123.11822984381743, 49.28906459601354], [-123.11822340676325, 49.289052567066285], [-123.11821867412198, 49.289040203553796], [-123.11821567365386, 49.2890276133899], [-123.11821443309752, 49.289014895493196], [-123.11818318280127, 49.28900643602063], [-123.11820421214213, 49.28897318636514], [-123.11834623519917, 49.28901163926139], [-123.1183842946175, 49.28898647677595], [-123.11840793066558, 49.28915171176172]], ""type"": ""LineString""}";R.O.W.;49.28905425456647, -123.1183088907907
