Geom;Label;geo_point_2d
"{""coordinates"": [[-123.05856849104046, 49.225426214629664], [-123.05856847775098, 49.2254149705562]], ""type"": ""LineString""}";EASE.;49.22542059259293, -123.05856848439572
"{""coordinates"": [[-123.0634648512707, 49.226188603567955], [-123.06347472275256, 49.225853542575216]], ""type"": ""LineString""}";4' SEW. EASE.;49.226021073071585, -123.06346978701164
"{""coordinates"": [[-123.05700838154668, 49.21967802896142], [-123.0570083686138, 49.219666784876395]], ""type"": ""LineString""}";;49.2196724069189, -123.05700837508024
"{""coordinates"": [[-123.0570083686138, 49.219666784876395], [-123.05700835619827, 49.21965599055475]], ""type"": ""LineString""}";;49.219661387715576, -123.05700836240605
"{""coordinates"": [[-123.05700835619827, 49.21965599055475], [-123.05711272258574, 49.21965593900072]], ""type"": ""LineString""}";EASE.;49.21965596477773, -123.05706053939201
"{""coordinates"": [[-123.05871216264069, 49.21983871265926], [-123.0587122276398, 49.219893583790665]], ""type"": ""LineString""}";EASE.;49.219866148224966, -123.05871219514025
"{""coordinates"": [[-123.0587122276398, 49.219893583790665], [-123.05868750915643, 49.2198935873564]], ""type"": ""LineString""}";;49.21989358557353, -123.05869986839812
"{""coordinates"": [[-123.05847639406348, 49.219644516364156], [-123.05847638079759, 49.21963327227936]], ""type"": ""LineString""}";;49.21963889432176, -123.05847638743053
"{""coordinates"": [[-123.0635932472705, 49.21401521254252], [-123.06359967544157, 49.21368508213943]], ""type"": ""LineString""}";EASE.;49.21385014734098, -123.06359646135606
"{""coordinates"": [[-123.06163918116887, 49.21383910972553], [-123.06164598057688, 49.213786033930795]], ""type"": ""LineString""}";EASE.;49.21381257182816, -123.06164258087288
"{""coordinates"": [[-123.06667844860937, 49.21500512163059], [-123.06666498719872, 49.21571621528843]], ""type"": ""LineString""}";;49.21536066845951, -123.06667171790406
"{""coordinates"": [[-123.06645731986809, 49.21597629852573], [-123.06645732348596, 49.21597899710739]], ""type"": ""LineString""}";;49.215977647816565, -123.06645732167702
"{""coordinates"": [[-123.06627401825064, 49.21597551330669], [-123.066274017048, 49.215974613779466]], ""type"": ""LineString""}";;49.21597506354308, -123.06627401764932
"{""coordinates"": [[-123.06667909826255, 49.21497768564947], [-123.06617723233957, 49.21497259508531]], ""type"": ""LineString""}";R.O.W.;49.214975140367386, -123.06642816530106
"{""coordinates"": [[-123.0653405142368, 49.21766180516168], [-123.06533587407941, 49.2177877416556]], ""type"": ""LineString""}";EASE.;49.21772477340864, -123.0653381941581
"{""coordinates"": [[-123.06584156799553, 49.21500877702064], [-123.06536922673189, 49.21500591493314]], ""type"": ""LineString""}";EASE.;49.215007345976886, -123.06560539736371
"{""coordinates"": [[-123.06384252987782, 49.21460065887554], [-123.06383672375159, 49.21487952479099]], ""type"": ""LineString""}";EASE.;49.214740091833264, -123.06383962681471
"{""coordinates"": [[-123.0599395129109, 49.21564541105676], [-123.0599388497302, 49.215664751251765]], ""type"": ""LineString""}";;49.21565508115427, -123.05993918132053
"{""coordinates"": [[-123.06136197684415, 49.21669573550464], [-123.0613606882994, 49.216764091305386]], ""type"": ""LineString""}";EASE.;49.21672991340502, -123.06136133257179
"{""coordinates"": [[-123.06137716625116, 49.2167640915463], [-123.06139433132968, 49.216764532188265]], ""type"": ""LineString""}";;49.21676431186728, -123.06138574879041
"{""coordinates"": [[-123.06139433132968, 49.216764532188265], [-123.06139493267992, 49.21669571799322]], ""type"": ""LineString""}";EASE.;49.21673012509074, -123.0613946320048
"{""coordinates"": [[-123.05682521924929, 49.217522788401986], [-123.05679989267426, 49.21759026543161]], ""type"": ""LineString""}";EASE.;49.217556526916795, -123.05681255596178
"{""coordinates"": [[-123.05679989267426, 49.21759026543161], [-123.05681637398408, 49.21759295590913]], ""type"": ""LineString""}";;49.21759161067037, -123.05680813332916
"{""coordinates"": [[-123.05861081279045, 49.216676439088424], [-123.05860952046294, 49.21674480385539]], ""type"": ""LineString""}";EASE.;49.216710621471904, -123.05861016662669
"{""coordinates"": [[-123.05864376861501, 49.21667642236193], [-123.05864316291361, 49.21674478678069]], ""type"": ""LineString""}";EASE.;49.216710604571304, -123.0586434657643
"{""coordinates"": [[-123.05864316291361, 49.21674478678069], [-123.05862599839796, 49.2167447954935]], ""type"": ""LineString""}";;49.21674479113709, -123.05863458065578
"{""coordinates"": [[-123.05698595276776, 49.21641402329419], [-123.05698596569407, 49.21642526738558]], ""type"": ""LineString""}";;49.21641964533988, -123.05698595923091
"{""coordinates"": [[-123.05894884393163, 49.21628409993452], [-123.0590600837617, 49.216284942640016]], ""type"": ""LineString""}";EASE.;49.216284521287264, -123.05900446384666
"{""coordinates"": [[-123.0590600837617, 49.216284942640016], [-123.05906007036499, 49.21627369854876]], ""type"": ""LineString""}";;49.21627932059439, -123.05906007706335
"{""coordinates"": [[-123.06593526699244, 49.210123834344756], [-123.06501813533242, 49.210116717229184]], ""type"": ""LineString""}";EASE.;49.21012027578697, -123.06547670116242
"{""coordinates"": [[-123.06593656758427, 49.21006940311265], [-123.06498991736913, 49.21006186185057]], ""type"": ""LineString""}";;49.21006563248161, -123.06546324247671
"{""coordinates"": [[-123.05780089292477, 49.209302036954774], [-123.0573378984607, 49.20964092235713]], ""type"": ""LineString""}";EASE;49.20947147965595, -123.05756939569274
"{""coordinates"": [[-123.05775363284542, 49.209393812545336], [-123.05774126784591, 49.20938662249576]], ""type"": ""LineString""}";;49.20939021752055, -123.05774745034566
"{""coordinates"": [[-123.06553543138445, 49.21144546958655], [-123.06553541295432, 49.211431526903375]], ""type"": ""LineString""}";;49.21143849824496, -123.06553542216938
"{""coordinates"": [[-123.06163120175006, 49.21021489558534], [-123.0617142544379, 49.210215741774874]], ""type"": ""LineString""}";;49.210215318680106, -123.061672728094
"{""coordinates"": [[-123.0593696480929, 49.209968727700556], [-123.0593524864618, 49.20996918628456]], ""type"": ""LineString""}";;49.209968956992554, -123.05936106727735
"{""coordinates"": [[-123.05624130210381, 49.20940305036161], [-123.05624678220065, 49.20939270311061]], ""type"": ""LineString""}";;49.209397876736105, -123.05624404215223
"{""coordinates"": [[-123.05762987827111, 49.21041302254471], [-123.05764497536394, 49.210408067603204]], ""type"": ""LineString""}";;49.210410545073955, -123.05763742681755
"{""coordinates"": [[-123.05733295634187, 49.21071000579347], [-123.0573192336801, 49.210716309304956]], ""type"": ""LineString""}";;49.210713157549215, -123.05732609501098
"{""coordinates"": [[-123.05949918504031, 49.21092711793881], [-123.05949705969287, 49.2108722477834]], ""type"": ""LineString""}";EASE.;49.210899682861104, -123.05949812236659
"{""coordinates"": [[-123.05947988348069, 49.21087225662939], [-123.05946340803719, 49.21087271487643]], ""type"": ""LineString""}";;49.210872485752915, -123.05947164575895
"{""coordinates"": [[-123.05946340803719, 49.21087271487643], [-123.0594662384325, 49.210931632548565]], ""type"": ""LineString""}";EASE.;49.2109021737125, -123.05946482323485
"{""coordinates"": [[-123.05803606275236, 49.21255956216033], [-123.05805322581912, 49.21255955353571]], ""type"": ""LineString""}";;49.212559557848024, -123.05804464428576
"{""coordinates"": [[-123.06338443635025, 49.21233545812922], [-123.06354045216354, 49.21194766663017]], ""type"": ""LineString""}";EASE.;49.21214156237969, -123.06346244425688
"{""coordinates"": [[-123.06255966518943, 49.212857913113616], [-123.06256114405275, 49.212789431215754]], ""type"": ""LineString""}";EASE.;49.21282367216469, -123.0625604046211
"{""coordinates"": [[-123.06257788175603, 49.21278958406433], [-123.06259461945945, 49.212789736910494]], ""type"": ""LineString""}";;49.21278966048742, -123.06258625060772
"{""coordinates"": [[-123.05725745360265, 49.21250369422906], [-123.05725683045223, 49.212558565772234]], ""type"": ""LineString""}";EASE.;49.21253113000065, -123.05725714202744
"{""coordinates"": [[-123.0634018829163, 49.208283952878745], [-123.0633902337383, 49.208300150796376]], ""type"": ""LineString""}";R.O.W.;49.20829205183756, -123.0633960583273
"{""coordinates"": [[-123.05970377236913, 49.20681942109679], [-123.05970443173557, 49.20679693252265]], ""type"": ""LineString""}";R.O.W.;49.206808176809716, -123.05970410205235
"{""coordinates"": [[-123.06011534277569, 49.20783246436291], [-123.0601107946674, 49.208067189867485]], ""type"": ""LineString""}";EASE.;49.2079498271152, -123.06011306872153
"{""coordinates"": [[-123.05925942549578, 49.20790078512431], [-123.05927933815912, 49.20790527255241]], ""type"": ""LineString""}";;49.20790302883836, -123.05926938182745
"{""coordinates"": [[-123.05979983013205, 49.20862685837283], [-123.05978335435306, 49.2086264171369]], ""type"": ""LineString""}";;49.20862663775486, -123.05979159224258
"{""coordinates"": [[-123.06066461032654, 49.20907120653262], [-123.06068383821352, 49.209076593606405]], ""type"": ""LineString""}";;49.209073900069505, -123.06067422427003
"{""coordinates"": [[-123.05759655347174, 49.20831895381492], [-123.05757246456619, 49.208264994078434]], ""type"": ""LineString""}";EASE.;49.20829197394667, -123.05758450901897
"{""coordinates"": [[-123.05704552725648, 49.20859231529512], [-123.05697626909728, 49.20856210731229]], ""type"": ""LineString""}";EASE.;49.208577211303705, -123.0570108981769
"{""coordinates"": [[-123.05649124517448, 49.20754369176949], [-123.05647065106506, 49.2075432520751]], ""type"": ""LineString""}";;49.20754347192229, -123.05648094811977
"{""coordinates"": [[-123.05632799426573, 49.291160933807156], [-123.05651327732713, 49.29142440156164]], ""type"": ""LineString""}";;49.291292667684395, -123.05642063579641
"{""coordinates"": [[-123.0576613279624, 49.29003675345278], [-123.05742934488295, 49.28983447780467]], ""type"": ""LineString""}";15' R.O.W.;49.28993561562872, -123.05754533642268
"{""coordinates"": [[-123.06615923686512, 49.28347367048303], [-123.06615921881401, 49.283460177733105]], ""type"": ""LineString""}";5' EASE.;49.28346692410807, -123.06615922783956
"{""coordinates"": [[-123.06615921881401, 49.283460177733105], [-123.06621351866475, 49.28346059638997]], ""type"": ""LineString""}";;49.28346038706154, -123.06618636873938
"{""coordinates"": [[-123.06044872779528, 49.285537691689], [-123.06044998080067, 49.2854490886071]], ""type"": ""LineString""}";EASEMENT;49.285493390148055, -123.06044935429799
"{""coordinates"": [[-123.06230556658046, 49.27957668247894], [-123.06230900964074, 49.27939575157906]], ""type"": ""LineString""}";R.O.W.;49.27948621702901, -123.0623072881106
